时间	文号&事件	文号	事件
2007	[财税120号]关于国家大学科技园有关税收政策问题的通知	财税120号	关于国家大学科技园有关税收政策问题的通知
2007	[国发40号]关于经济特区和上海浦东新区新设立高新技术企业实行过渡性税收优惠的通知	国发40号	关于经济特区和上海浦东新区新设立高新技术企业实行过渡性税收优惠的通知
2007	[财税121号]关于科技企业孵化器有关税收政策问题的通知	财税121号	关于科技企业孵化器有关税收政策问题的通知
2007	[财政部、海关总署、国税总局第45号令]科学研究和教学用品免征进口税收规定	财政部、海关总署、国税总局第45号令	科学研究和教学用品免征进口税收规定
2007	[财关税99号]关于大型露天矿用机械正铲式挖掘机及其关键零部件、原材料进口税收政策的通知	财关税99号	关于大型露天矿用机械正铲式挖掘机及其关键零部件、原材料进口税收政策的通知
2007	[财关税63号]关于大型全断面隧道掘进机零部件进口税收政策的通知	财关税63号	关于大型全断面隧道掘进机零部件进口税收政策的通知
2007	[财关税101号]关于调整大型煤炭采掘设备及其关键零部件、原材料进口税收政策的通知	财关税101号	关于调整大型煤炭采掘设备及其关键零部件、原材料进口税收政策的通知
2007	[财关税50号]关于调整喷气织机和自动络筒机及其零部件进口税收政策的通知	财关税50号	关于调整喷气织机和自动络筒机及其零部件进口税收政策的通知
2007	[财政部、海关总署、国税总局第44号令]科技开发用品免征进口税收暂行规定	财政部、海关总署、国税总局第44号令	科技开发用品免征进口税收暂行规定
2007	[主席令第63号]中华人民共和国企业所得税法	主席令第63号	中华人民共和国企业所得税法
2008	[财税92号 ]关于嵌入式软件增值税政策的通知	财税92号 	关于嵌入式软件增值税政策的通知
2008	[国税发116号]关于印发《企业研究开发费用税前扣除管理办法(试行)》的通知	国税发116号	关于印发《企业研究开发费用税前扣除管理办法(试行)》的通知
2008	[财关税82号]关于调整超特高压输变电设备及其关键零部件进口税收政策的通知	财关税82号	关于调整超特高压输变电设备及其关键零部件进口税收政策的通知
2008	[财关税36号]关于调整大功率风力发电机组及其关键零部件、原材料进口税收政策的通知	财关税36号	关于调整大功率风力发电机组及其关键零部件、原材料进口税收政策的通知
2008	[财关税32号]关于调整大型、精密、高速数控设备及其关键零部件进口税收政策的通知	财关税32号	关于调整大型、精密、高速数控设备及其关键零部件进口税收政策的通知
2008	[财关税20号]关于调整大型非公路矿用自卸车及其关键零部件、原材料进口税收政策的通知	财关税20号	关于调整大型非公路矿用自卸车及其关键零部件、原材料进口税收政策的通知
2008	[财关税80号]关于调整大型煤化工设备及其关键零部件原材料进口税收政策的通知	财关税80号	关于调整大型煤化工设备及其关键零部件原材料进口税收政策的通知
2008	[财关税78号]关于调整大型石化设备及其关键零部件原材料进口税收政策的通知	财关税78号	关于调整大型石化设备及其关键零部件原材料进口税收政策的通知
2008	[财关税14号]关于调整新型大马力农业装备及其关键零部件进口税收政策的通知	财关税14号	关于调整新型大马力农业装备及其关键零部件进口税收政策的通知
2008	[国税函536号]关于第二届全国职工技术创新成果获奖者奖金免征个人所得税的通知	国税函536号	关于第二届全国职工技术创新成果获奖者奖金免征个人所得税的通知
2008	[国科发火172号]关于印发《高新技术企业认定管理办法》的通知	国科发火172号	关于印发《高新技术企业认定管理办法》的通知
2009	[国税发87号]关于实施创业投资企业所得税优惠问题的通知	国税发87号	关于实施创业投资企业所得税优惠问题的通知
2009	[国税发81号]关于企业固定资产加速折旧所得税处理有关问题的通知	国税发81号	关于企业固定资产加速折旧所得税处理有关问题的通知
2009	[财税63号]关于技术先进型服务企业有关税收政策问题的通知	财税63号	关于技术先进型服务企业有关税收政策问题的通知
2009	[财税115号]关于研发机构采购设备税收政策的通知	财税115号	关于研发机构采购设备税收政策的通知
2009	[财关税55号]关于调整重大技术装备进口税收政策的通知	财关税55号	关于调整重大技术装备进口税收政策的通知
2010	[财税84号]关于支持和促进就业有关税收政策的通知	财税84号	关于支持和促进就业有关税收政策的通知
2010	[财关税28号]关于科技重大专项进口税收政策的通知	财关税28号	关于科技重大专项进口税收政策的通知
2011	[财政部、海关总署、国税总局第63号令]关于修改《科技开发用品免征进口税收暂行规定》和《科学研究和教学用品免征进口税收规定》的决定	财政部、海关总署、国税总局第63号令	关于修改《科技开发用品免征进口税收暂行规定》和《科学研究和教学用品免征进口税收规定》的决定
2011	[财税100号]关于软件产品增值税政策的通知	财税100号	关于软件产品增值税政策的通知
2011	[财税88号]关于继续执行研发机构采购设备税收政策的通知	财税88号	关于继续执行研发机构采购设备税收政策的通知
2011	[财关税71号]关于国家中小企业公共技术服务示范平台适用科技开发用品进口税收政策的通知	财关税71号	关于国家中小企业公共技术服务示范平台适用科技开发用品进口税收政策的通知
2011	[国家税务总局公告19号]关于执行中英等双边税收协定技术服务费条款有关问题的公告	国家税务总局公告19号	关于执行中英等双边税收协定技术服务费条款有关问题的公告
2012	[财关税54号]关于科技类民办非企业单位适用科学研究和教学用品进口税收政策的通知	财关税54号	关于科技类民办非企业单位适用科学研究和教学用品进口税收政策的通知
2012	[财税27号]关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知	财税27号	关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知
2012	[财税19号]关于节约能源 使用新能源车船车船税政策的通知 	财税19号	关于节约能源 使用新能源车船车船税政策的通知 
2013	[财税118号]关于国家大学科技园税收政策的通知	财税118号	关于国家大学科技园税收政策的通知
2013	[财税66号]关于光伏发电增值税政策的通知	财税66号	关于光伏发电增值税政策的通知
2013	[财税117号]关于科技企业孵化器税收政策的通知	财税117号	关于科技企业孵化器税收政策的通知
2013	[财税52号]关于暂免征收部分小微企业增值税和营业税的通知	财税52号	关于暂免征收部分小微企业增值税和营业税的通知
2014	[财税39号]关于继续实施支持和促进重点群体创业就业有关税收政策的通知	财税39号	关于继续实施支持和促进重点群体创业就业有关税收政策的通知
2014	[财税42号]关于调整完善扶持自主就业退役士兵创业就业有关税收政策的通知	财税42号	关于调整完善扶持自主就业退役士兵创业就业有关税收政策的通知
2014	[财税75号]完善固定资产加速折旧企业所得税政策的通知 	财税75号	完善固定资产加速折旧企业所得税政策的通知 
2014	[财税59号]关于完善技术先进型服务企业有关企业所得税政策问题的通知	财税59号	关于完善技术先进型服务企业有关企业所得税政策问题的通知
2014	[财税122号]关于对小微企业免征有关政府性基金的通知	财税122号	关于对小微企业免征有关政府性基金的通知
2014	[财税71号]关于进一步支持小微企业增值税和营业税政策的通知	财税71号	关于进一步支持小微企业增值税和营业税政策的通知
2014	[财税34号]关于小型微利企业所得税优惠政策的通知 	财税34号	关于小型微利企业所得税优惠政策的通知 
2014	[财政部、国税总局、工业和信息化部公告53号 ]关于免征新能源汽车车辆购置税的公告 	财政部、国税总局、工业和信息化部公告53号 	关于免征新能源汽车车辆购置税的公告 
2014	[财关税2号]关于调整重大技术装备进口税收政策的通知	财关税2号	关于调整重大技术装备进口税收政策的通知
2015	[财税4号]关于创新药后续免费使用有关增值税政策的通知	财税4号	关于创新药后续免费使用有关增值税政策的通知
2015	[财税116号]关于将国家自主创新示范区有关税收试点政策推广到全国范围实施的通知	财税116号	关于将国家自主创新示范区有关税收试点政策推广到全国范围实施的通知
2015	[财关税23号]关于科研机构进口医疗检测分析仪器有关税收事项的通知	财关税23号	关于科研机构进口医疗检测分析仪器有关税收事项的通知
2015	[财税34号]关于小型微利企业所得税优惠政策的通知	财税34号	关于小型微利企业所得税优惠政策的通知
2015	[财税99号]关于进一步扩大小型微利企业所得税优惠政策范围的通知	财税99号	关于进一步扩大小型微利企业所得税优惠政策范围的通知
2015	[财税51号]关于节约能源 使用新能源车船车船税优惠政策的通知	财税51号	关于节约能源 使用新能源车船车船税优惠政策的通知
2015	[财税119号]关于完善研究开发费用税前加计扣除政策的通知	财税119号	关于完善研究开发费用税前加计扣除政策的通知
2015	[主席令第32号]中华人民共和国促进科技成果转化法（2015年修订）	主席令第32号	中华人民共和国促进科技成果转化法（2015年修订）
2016	[财关税26号]关于“十三五”期间进口种子种源税收政策的通知	财关税26号	关于“十三五”期间进口种子种源税收政策的通知
2016	[财关税6号]关于鼓励科普事业发展进口税收政策的通知	财关税6号	关于鼓励科普事业发展进口税收政策的通知
2016	[财税49号]关于软件和集成电路产业企业所得税优惠政策有关问题的通知	财税49号	关于软件和集成电路产业企业所得税优惠政策有关问题的通知
2016	[财税36号]关于全面推开营业税改征增值税试点的通知	财税36号	关于全面推开营业税改征增值税试点的通知
2016	[国科发火32号]关于修订印发《高新技术企业认定管理办法》的通知	国科发火32号	关于修订印发《高新技术企业认定管理办法》的通知
2016	[财税98号]关于国家大学科技园税收政策的通知	财税98号	关于国家大学科技园税收政策的通知
2016	[财税89号]关于科技企业孵化器税收政策的通知	财税89号	关于科技企业孵化器税收政策的通知
